"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description","gender","Race","votes","IMDB","tomato","gender_num","race_num","type_num"
80174097,"Movie","Boy Bye","Chris Stokes","Wendy Raquel Robinson, Ross Fleming, Shondrella Avery, Tammy Townsend, Omar Gooding, Tracy Davis, Veronika Bozeman, Kelly Perine, Valarie Pettiford","United States",2019,2016,"TV-MA","86 min","Comedies, Romantic Movies","Single entrepreneur Veronica finally starts to believe in love after meeting sexy Lance, but she soon discovers he's hiding something from her.","Male","Black",359,5.4,NA,0,1,1
80020542,"TV Show","Gotham","Danny Cannon","Ben McKenzie, Donal Logue, Jada Pinkett Smith, David Mazouz, Sean Pertwee, Camren Bicondova, Robin Lord Taylor, Cory Michael Smith, Erin Richards, John Doman, Victoria Cartagena, Andrew Stewart-Jones, Larry Pine, Jessica Lucas, Maggie Geha, Charlie Tahan, Drew Powell, Morena Baccarin, Anthony Carrigan, Crystal Reed, Chris Chalk, Damian Young, Michael Buscemi, Alexander Siddig, Michael Maize","United States",2019,2019,"TV-14","5 Seasons","Crime TV Shows, TV Action & Adventure, TV Dramas","Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents.","Male","White",204496,7.8,77,0,0,2
70043231,"Movie","Bill Hicks: Sane Man","Kevin Booth, David Johndrow","Bill Hicks","United States",2018,1989,"NR","81 min","Stand-Up Comedy","Filmed in 1989 at a turning point in comedian Bill Hicks's career, this rare onstage performance captures him spouting off on a variety of topics.","Male","White",2092,8.5,NA,0,0,1
80106438,"Movie","Operator","Logan Kibens","Martin Starr, Mae Whitman, Nat Faxon, Cameron Esposito, Retta, Christine Lahti, Kate Cobb, Kristopher Lofton, Tim Hopper, Trevor Dawkins","United States",2017,2016,"TV-MA","91 min","Comedies, Dramas, Independent Movies","When a programmer uses his wife's sympathetic voice for his company's customer service app, he starts to rely more on her idealized self than her.","Female","White",1840,6,100,1,0,1
80114666,"Movie","Get Me Roger Stone","Dylan Bank, Daniel DiMauro, Morgan Pehme","Roger Stone","United States",2017,2017,"TV-MA","101 min","Documentaries","Examine the rise, fall and rebirth of political operative Roger Stone, who's been an influential member of Team Trump for decades.","Male","White",5961,7.4,88,0,0,1
80201862,"TV Show","Westside","","","United States",2018,2018,"TV-MA","1 Season","Reality TV","Nine struggling musicians share the spotlight in this deeply personal reality series about the challenges and thrills of staging a Hollywood showcase.","","",136,5.9,20,3,6,2
81001090,"Movie","Big Kill","Scott Martin","Christoph Sanders, Jason Patric, Clint Glenn Hummel, Lou Diamond Phillips, Danny Trejo, Scott Martin, Elizabeth McLaughlin, Stephanie Beran, K.C. Clyde, Michael Paré","United States",2019,2018,"R","126 min","Action & Adventure","A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.","Male","White",790,5.2,22,0,0,1
26597413,"Movie","187","Kevin Reynolds","Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana","United States",2019,1997,"R","119 min","Dramas","After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.","Male","White",21424,6.7,30,0,0,1
80216844,"Movie","Feminists: What Were They Thinking?","Johanna Demetrakas","","United States",2018,2018,"TV-MA","86 min","Documentaries, LGBTQ Movies","Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change.","Female","White",1466,6.8,80,1,0,1
80144355,"TV Show","Mars","Everardo Gout","Jihae, Alberto Ammann, Clémentine Poidatz, Anamaria Marinca, Sammi Rotibi, Nicholas Wittman, Cosima Shaw","United States",2019,2018,"TV-PG","2 Seasons","Docuseries, Science & Nature TV, TV Dramas","Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet.","Male","White",12398,7.5,61,0,0,2
80010655,"TV Show","Bloodline","","Kyle Chandler, Ben Mendelsohn, Sissy Spacek, Linda Cardellini, Norbert Leo Butz, Jacinda Barrett, Jamie McShane, John Leguizamo, Enrique Murciano, Sam Shepard, Chloë Sevigny, Andrea Riseborough, Beau Bridges, Taylor Rouviere, Owen Teague, Brandon Larracuente","United States",2017,2017,"TV-MA","3 Seasons","TV Dramas, TV Mysteries, TV Thrillers","When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test.","","",41081,8,62,3,6,2
70113538,"Movie","9","Shane Acker","Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane","United States",2017,2009,"PG-13","80 min","Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.","Male","White",129411,7.1,57,0,0,1
80118930,"Movie","I'll Sleep When I'm Dead","Justin Krook","Steve Aoki","United States",2016,2016,"TV-MA","80 min","Documentaries, Music & Musicals","Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki.","Male","White",8156,6.6,NA,0,0,1
70143864,"TV Show","Royal Pains","Jay Chandrasekhar","Mark Feuerstein, Paulo Costanzo, Reshma Shetty, Jill Flint, Campbell Scott, Brooke D'Orsay, Dieter Riesle","United States",2017,2016,"TV-PG","8 Seasons","TV Comedies, TV Dramas","Dr. Hank Lawson unexpectedly gets a career upgrade as a freelance physician treating New York's aristocratic upper crust in their posh Hamptons homes.","Male","Asian",18495,7,92,0,2,2
